Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significancia,neg_log10_padj
Rummeliibacillus,4460.95963364153,12.3966891762491,0.771481068872259,16.0686887552152,4.22938325860173e-58,8.33188501944541e-56,Aumenta,55.079256731975
Caproiciproducens,602.25129796537,10.5413029853432,0.886917839172191,11.8853207363401,1.41092433728775e-32,1.38976047222844e-30,Aumenta,29.8570600447484
Anaerococcus,842.105695286567,2.42040584036014,0.237039187812766,10.2109944886918,1.77040865378766e-24,1.16256834932056e-22,Aumenta,21.9345815047949
Peptostreptococcus,400.430775358379,2.13316322290065,0.250635281047796,8.51102531927202,1.72401981952109e-17,8.49079761114139e-16,Aumenta,15.0710515109519
Peptoniphilus,254.060956621265,2.17713126831534,0.260745192376738,8.34965066266575,6.84651613897847e-17,2.69752735875752e-15,Aumenta,14.569034141938
Anaerosalibacter,141.842490355197,-10.3496760228826,1.26815078168253,-8.16123458848564,3.31617396057089e-16,1.08881045038744e-14,Disminuye,13.9630477194324
Coprococcus,73.614856895926,-2.67450867853923,0.341046730357302,-7.84205928535729,4.432170079737e-15,1.24733929386884e-13,Disminuye,12.9040153962311
Prevotellaceae_NK3B31_group,71.2144774228596,-2.53683815656962,0.324221342003608,-7.82440212261346,5.10075198299097e-15,1.25606017581153e-13,Disminuye,12.9009895537542
Jeotgalibaca,77.38236366304,-9.47574990084412,1.24339440399493,-7.62087224327153,2.5196723295385e-14,5.5152827657676e-13,Disminuye,12.2584322165938
Lactobacillus,3650.49351837228,1.78770802074521,0.248485943076853,7.19440302581742,6.27346354267476e-13,1.23587231790693e-11,Aumenta,10.9080263953417
Bifidobacteriaceae,34.5777060461376,8.8514931299102,1.2514111099818,7.07320964254419,1.51390505701075e-12,2.71126632937379e-11,Aumenta,10.5668278193076
Streptococcus,842.161784896603,-2.02209859787791,0.296256830999185,-6.82549189180879,8.76245508896488e-12,1.43850304377173e-10,Disminuye,9.84208921483596
Sedimentibacter,41.7562482293065,-8.58611426343318,1.26937276378184,-6.76406057260325,1.34176943105895e-11,2.0332967532201e-10,Disminuye,9.69179923283228
Proteiniclasticum,32.7664615470447,-8.2361488740237,1.24755302973453,-6.60184270946484,4.06078239074724e-11,5.71410093555147e-10,Disminuye,9.24305209238067
Tepidimicrobium,37.2379278675269,-8.42082345619716,1.27942391026073,-6.58173056534569,4.65003697328252e-11,6.10704855824438e-10,Disminuye,9.21416862683666
Clostridium_sensu_stricto_2,27.6538968965552,8.52792199515342,1.30154954722017,6.55213012318065,5.67220813013556e-11,6.98390626022941e-10,Aumenta,9.15590159847464
WCHB1-41,274.922576443806,-1.36665523568057,0.21820240560821,-6.26324550305118,3.77046292040261e-10,4.36930114893715e-09,Disminuye,8.35958802102301
Enterococcus,58.0748113420849,4.53734784008421,0.731697641634439,6.20112404619599,5.60613035452162e-10,6.13559822133755e-09,Aumenta,8.21214308712443
Helcococcus,24.2090029967802,-7.79991771143318,1.27833171272734,-6.10163827884075,1.0498675586803e-09,1.08854688978957e-08,Disminuye,7.96315285873288
Psychrobacter,62.7207109662379,-2.66867836253199,0.443342132871896,-6.01945577616263,1.75004460526297e-09,1.72379393618402e-08,Disminuye,7.76351465134598
Corynebacterium,279.877602208248,1.52928359175546,0.254770034011383,6.00260386858185,1.9417796140135e-09,1.82157420933647e-08,Aumenta,7.73955313128518
Fastidiosipila,1029.56267345892,-1.6173820987794,0.27004460367201,-5.98931464205015,2.10727141206272e-09,1.88696576443799e-08,Disminuye,7.72423597924712
Subdoligranulum,91.7738932594755,-1.73288334577783,0.291878814793923,-5.93699596526492,2.90291808298028e-09,2.48641244498745e-08,Disminuye,7.60442682914372
Faecalibacterium,19.7658383797391,-7.50687348817893,1.2772880124509,-5.87719716696824,4.17271105616371e-09,3.42510032526771e-08,Disminuye,7.46532670298264
UCG-008,19.8332995412493,-7.51216858939695,1.2897675410628,-5.82443607102001,5.73057682752755e-09,4.51569454009171e-08,Disminuye,7.3452754431951
Bradymonadales,17.6709172805979,-7.34343366241893,1.28252976482643,-5.72574131518324,1.02983043410006e-08,7.80294598145042e-08,Disminuye,7.10774139962544
[Eubacterium]_ventriosum_group,18.1891034628777,-7.38650548637837,1.29449878105095,-5.70607372869178,1.15611935606374e-08,8.43538937572435e-08,Disminuye,7.07389486567408
Bacteroides,307.27639393278,-1.0200950807773,0.188822501446356,-5.40240211290232,6.57543416230609e-08,4.62628760705107e-07,Disminuye,6.33476737150648
Clostridia_UCG-014,144.985012192648,1.13481364523661,0.212575948306403,5.33839154559907,9.37747738433319e-08,6.37021739556427e-07,Aumenta,6.19584574630156
NK4A214_group,46.483531528795,-2.28719659667366,0.436278609507467,-5.24251372134832,1.58403608100069e-07,1.04018369319045e-06,Disminuye,5.9828899588797
Tissierella,410.731925979149,-1.68131994134566,0.327896328928688,-5.12759611197512,2.93465171868545e-07,1.86492383413236e-06,Disminuye,5.72933890063358
Atopostipes,98.5569543351154,-5.68084348244503,1.11638674180883,-5.08859812616603,3.60720118358132e-07,2.22068322864225e-06,Disminuye,5.6535133873607
Aerococcus,51.4851431837555,-3.89279882274522,0.768447438713128,-5.06579712109426,4.06694882175325e-07,2.42784520571331e-06,Disminuye,5.61477900641375
Herbinix,10.8014812993319,-6.63442474235025,1.33066236774354,-4.98580624444993,6.17039573462856e-07,3.57519988153478e-06,Disminuye,5.44669967273816
