Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significancia,neg_log10_padj
Odoribacter,512.240650399811,3.83075894639295,0.168527128882154,22.7308147465782,2.22174322623662e-114,3.66587632329042e-112,Aumenta,111.4358221910428
Izemoplasmatales,268.616973767624,3.58966651239875,0.233252372386236,15.3896248757321,1.92142963862507e-53,1.58517945186568e-51,Aumenta,50.79992156591089
Streptococcus,1661.91953107524,-3.18129290189098,0.233131470850597,-13.645917860355,2.13508192257435e-42,1.17429505741589e-40,Disminuye,39.93022276705132
Peptostreptococcus,363.426030492962,3.03902938291916,0.248793435857927,12.2150705963745,2.58277184522028e-34,1.06539338615336e-32,Aumenta,31.972490003595883
UCG-004,472.16483671445,2.94956925714263,0.257368425370439,11.4604938538875,2.08323514090243e-30,6.87467596497802e-29,Aumenta,28.162747767306932
Caproiciproducens,598.020771901067,12.9296578221351,1.20052443630221,10.7700080324564,4.76959582802468e-27,1.31163885270679e-25,Aumenta,24.882185727359296
Aerococcus,119.657908208043,-5.15246676373798,0.512258905163706,-10.0583254127937,8.44220800007745e-24,1.98994902858968e-22,Disminuye,21.70115804765348
Candidatus_Methanoplasma,336.967979669137,4.7820111459185,0.534534913349856,8.9461156352731,3.68211322093467e-19,7.59435851817777e-18,Aumenta,17.11950890432672
Clostridia_vadinBB60_group,58.9550299178749,4.70674108962821,0.543280375348161,8.66355808750113,4.57263381648511e-18,8.38316199688937e-17,Aumenta,16.076592141419077
Clostridium_sensu_stricto_15,81.4719224594745,10.0526430581745,1.24880352518546,8.0498195716428,8.29161814693841e-16,1.36811699424484e-14,Aumenta,13.8638767624241
Acholeplasma,509.670700847692,1.71976879566263,0.215474268588152,7.98131863693536,1.44778188166286e-15,2.17167282249429e-14,Aumenta,13.663205603617408
Bifidobacteriaceae,34.3636768216075,8.80753960158091,1.28006602163595,6.8805354198252,5.96280171622254e-12,8.198852359806e-11,Aumenta,10.086246934041252
Peptoniphilus,281.623123053767,1.46743857320536,0.223136601543294,6.57641356485679,4.81930936207469e-11,6.1168157287871e-10,Aumenta,9.213474602578273
Clostridium_sensu_stricto_2,27.4326879336919,8.48138587842088,1.3296732679682,6.37854883807722,1.78773836439525e-10,2.10697735803726e-09,Aumenta,8.676340131374488
Rummeliibacillus,4426.44546821274,11.4365059268991,1.81014230502237,6.31801482964497,2.64944595900891e-10,2.9143905549098e-09,Aumenta,8.53545224924528
Anaerococcus,1043.50930628956,1.05936534602369,0.180040353982126,5.88404389678585,4.00361578415859e-09,4.12872877741355e-08,Aumenta,7.384183645665258
Jeotgalibaca,26.4979793755547,-7.93375754776043,1.35867921008417,-5.8393162189248,5.24155002607155e-09,5.08738679001062e-08,Disminuye,7.293505242045983
UCG-005,63.7010598714566,2.96772523370968,0.533038963977985,5.56755778519833,2.58334421424157e-08,2.36806552972144e-07,Aumenta,6.625606283873673
Sphaerochaeta,2961.99519346793,1.56336613036012,0.28170962362779,5.54956593327361,2.86379734455514e-08,2.48698190448209e-07,Aumenta,6.604327374686705
RumEn_M2,21.8382882356946,8.15893875921729,1.47322544731361,5.53814677454485,3.05689032498335e-08,2.52193451811127e-07,Aumenta,6.598266194048479
Gallicola,331.15221445517,-1.31454827508995,0.240973601026605,-5.45515471192553,4.89302243726153e-08,3.84451762927692e-07,Disminuye,6.4151581432709
Bacteroides,302.017487049852,-0.988389167592557,0.181837351776983,-5.43556732394994,5.4622355786139e-08,4.09667668396042e-07,No significativo,6.38756830988445
Oscillibacter,15.3580692707668,7.64474126376371,1.41885700272754,5.38795752430854,7.12628879562621e-08,5.11233761425359e-07,Aumenta,6.291380473479198
Trichococcus,386.679914198888,-1.29654721568139,0.25399980766321,-5.10452046247429,3.31634390286253e-07,2.27998643321799e-06,Disminuye,5.642067737208359
Yaniella,13.8140523721149,-6.99293928886981,1.42423540856478,-4.90996028242037,9.10948413289629e-07,6.01225952771155e-06,Disminuye,5.220962280743094
Facklamia,31.7058503474371,-4.92971307061231,1.01364823040801,-4.86333712497877,1.15423008564969e-06,7.32492169739226e-06,Disminuye,5.13519701350931
Desulfovibrio,171.514735576518,-1.19479265122396,0.246482600860892,-4.84737116149739,1.25108229555555e-06,7.37244924166661e-06,Disminuye,5.132388208825671
W5053,577.801180724286,-1.00756883445227,0.207586371007753,-4.85373307294165,1.21158792480751e-06,7.37244924166661e-06,Disminuye,5.132388208825671
Enterococcus,57.0968587675257,4.96038520426145,1.08203044414768,4.58433053440447,4.55443292622739e-06,2.59131528561213e-05,Aumenta,4.586479743142587
Bacteroidales_UCG-001,47.8278601633501,1.82326867675768,0.398538166082343,4.57489101904726,4.76467940757392e-06,2.62057367416566e-05,Aumenta,4.581603626141188
Tissierella,324.711251305617,-1.23462224838567,0.271138059836913,-4.55348190190741,5.27652129149591e-06,2.80847100998976e-05,Disminuye,4.551530054702725
WCHB1-41,108.668525151844,1.25654146102605,0.277075469020244,4.53501519087655,5.75993396195175e-06,2.96996594913137e-05,Aumenta,4.527248529871045
Jeotgalicoccus,10.7243665554176,-6.62874554225814,1.48373997549422,-4.46759247020367,7.91048207674931e-06,3.95524103837466e-05,Disminuye,4.402827044796836
Eubacterium,127.78289452466,-1.37839391324124,0.313313985869701,-4.39940116115491,1.08550002457126e-05,5.26786776630171e-05,Disminuye,4.278365135207267
Peptococcus,9.5515045238592,-6.46214429623926,1.49433413590744,-4.32443062161269,1.5292632055798e-05,7.20938368344763e-05,Disminuye,4.142101860706156
Fastidiosipila,672.210724702837,-0.742679999553088,0.175179206551936,-4.23954425968303,2.2397403244945e-05,9.98803117679979e-05,No significativo,4.000520110704853
Ignavigranum,10.6553003178747,-6.61902688867013,1.56045883044209,-4.24171837125296,2.21814923755755e-05,9.98803117679979e-05,Disminuye,4.000520110704853
Bifidobacterium,76.8980616011749,-1.6004967029021,0.393386842564789,-4.06850593290625,4.73155565319798e-05,0.000202824387775442,Disminuye,3.692879826264191
Gastranaerophilales,6.97716341636534,6.50971824101229,1.60123028298755,4.06544786853929,4.79403098378318e-05,0.000202824387775442,Aumenta,3.692879826264191
Mycoplasma,46.631860964889,2.17868481765378,0.54521329850656,3.99602288429428,6.44155099033799e-05,0.000265713978351442,Aumenta,3.5755855981632485
Weissella,104.817349537413,-1.00192949718279,0.25330638401553,-3.95540562894523,7.6404904536918e-05,0.00030748315240467,Disminuye,3.512178675069484
Rikenellaceae_RC9_gut_group,507.85639668189,0.533836933109345,0.142404338150784,3.74874066367342,0.000177724743541322,0.00069820434962662,No significativo,3.1560174499747826
Anaeroplasma,19.7033144503711,2.65211824241315,0.716187278269572,3.70310716607689,0.000212974861312663,0.00081722911899045,Aumenta,3.0876561672579363
[Eubacterium]_hallii_group,44.3927543736312,-2.08441622186377,0.573198562108383,-3.63646449878852,0.000276405717110907,0.0010365214391659,Disminuye,2.9844217106322004
UCG-008,6.281231235855,-5.85870700345385,1.65366022298335,-3.54287230352812,0.000395794304666639,0.00145124578377768,Disminuye,2.8382590289827396
Paraeggerthella,6.04196379797714,-5.80009075173555,1.66210722117495,-3.48960083792636,0.000483742513140077,0.00173516336235028,Disminuye,2.7606596309437745
Collinsella,50.5613320766913,-1.57369671936317,0.451834851519247,-3.4829024677308,0.000496009034706025,0.00174130831332966,Disminuye,2.759124326571862
Dysgonomonadaceae,338.735847744628,0.706678409425579,0.207051651436026,3.41305372125431,0.000642392775573236,0.002208225166033,No significativo,2.6559566449918046
Christensenellaceae_R-7_group,81.4093845007522,1.7704636639765,0.528847030324913,3.34778028892167,0.000814615657608319,0.00274309354092597,Aumenta,2.561759382473736
Holdemanella,66.1829715442547,-1.05959255985183,0.32833701668025,-3.22714925829916,0.00125030221528356,0.00412599731043575,Disminuye,2.3844710594610965
NK4A214_group,30.6729926336092,-1.53597277928234,0.48706398894721,-3.15353385620305,0.00161306516435757,0.00521874023762743,Disminuye,2.2824343195792216
Escherichia-Shigella,10.9794555465234,-3.8112132439448,1.22179705268251,-3.11935049734906,0.00181250214628612,0.00575120873340789,Disminuye,2.2402408699049414
UCG-010,28.6953407528985,2.06581365869952,0.687977567427846,3.00273403742365,0.00267566152695246,0.00832988965938031,Aumenta,2.079360751371081
Unassigned,11.4988007603472,2.18691370704653,0.73483243452176,2.97607128415584,0.00291966987606783,0.00892121351020725,Aumenta,2.049576066594611
Corynebacterium,525.868102375135,-0.628607744982223,0.218684609063295,-2.87449467831676,0.00404674589680213,0.0121402376904064,No significativo,1.9157728102441747
Blautia,28.9623693374216,-2.53446514976251,0.884811793794573,-2.86441158169161,0.00417784772783348,0.0123097299123665,Disminuye,1.9097514758140666
Subdoligranulum,60.4749072448612,-0.892487881070581,0.317199913506246,-2.813644780685,0.00489833227841307,0.0141793829111957,No significativo,1.8483426693006342
Candidatus_Methanomethylophilus,3.55643536173653,5.54158355244494,1.98097192970191,2.79740639902899,0.0051514691090392,0.0146550414308874,Aumenta,1.8340129494411483
FTLpost3,5.96981033957849,4.33069640744998,1.56138934465404,2.773617241771,0.00554368606479018,0.0155035288252607,Aumenta,1.8095694389322894
Prevotellaceae_NK3B31_group,41.4675368947821,-1.57915612763486,0.572030467398909,-2.76061541759387,0.00576925686791315,0.0158654563867612,Disminuye,1.799547430440268
Solibacillus,4.29072305565546,-5.30517132810805,1.9396642220527,-2.73509779053084,0.00623617463529926,0.0168683412266292,Disminuye,1.7729276223036499
Atopostipes,21.7206007517624,-3.42478939672277,1.2865687289678,-2.66195603826812,0.00776880241672108,0.0206750386896609,Disminuye,1.6845536690697076
Dorea,12.353384135773,-3.44549276682333,1.31272861041656,-2.62468018102385,0.00867303901269517,0.0227151021761064,Disminuye,1.643685305319996
[Ruminococcus]_torques_group,3.53965228644172,-5.02797407573935,1.9339118710665,-2.59989824301898,0.00932514073702607,0.0240413784626453,Disminuye,1.6190406347742332
Parabacteroides,125.888352429347,0.935443241341459,0.368756560181959,2.53675010115041,0.0111886790779116,0.0284020315054678,No significativo,1.5466505951620872
Catenibacterium,49.6478775490545,-0.944041844765431,0.374889030094993,-2.51819010155144,0.011795963595451,0.0294899089886275,No significativo,1.5303265677600995
Neoscardovia,2.74596418443753,5.16284862558232,2.07990549596559,2.48225154248437,0.0130555077990512,0.0321516236842306,Aumenta,1.49279708994673
Clostridia_UCG-014,237.528078400686,-0.480516917258015,0.197253460712648,-2.43603795604892,0.0148491263082878,0.0357068114147175,No significativo,1.447248930171862
Sarcina,44.2204360866265,-1.12130756160051,0.46068026786418,-2.43402559176053,0.0149319393188819,0.0357068114147175,Disminuye,1.447248930171862
Treponema,587.632175774406,0.440599961926592,0.183810237447595,2.39703711852398,0.0165282492781826,0.0389594447271448,No significativo,1.4093872415689734
Anaerotruncus,2.57014220429902,5.06647071814527,2.15680508058691,2.34906286328229,0.0188207289867514,0.0431447206438507,Aumenta,1.3650723386629222
Olsenella,40.5635323738455,0.985806624287983,0.419680942547141,2.34894302873248,0.0188267871900439,0.0431447206438507,No significativo,1.3650723386629222
p-1088-a5_gut_group,182.60276986994,-0.962627014067776,0.419517690827627,-2.29460410160225,0.0217558230057883,0.0491741204925352,No significativo,1.308263398946085
Hespellia,8.7858162036478,-3.14888367779531,1.43367215728336,-2.1963763903751,0.0280650141034569,0.062577396311762,No significativo,1.2035825107161635
Enterobacter,2.6454465143817,-4.6094806688625,2.16412517790983,-2.12995103791291,0.0331756558419258,0.0729864428522367,No significativo,1.1367578020885252
Campylobacter,38.6470822913093,0.956951696352701,0.4543555882014,2.10617349319036,0.0351892847554937,0.0763977892717955,No significativo,1.11691920845247
Turicibacter,2102.02593951082,-0.508458844058876,0.252097257920809,-2.01691540896727,0.0437043417484705,0.0936521608895797,No significativo,1.0284821974495175
Muribaculaceae,57.1184914537413,-0.724054752236077,0.365522818580622,-1.98087428590009,0.0476053734200652,0.0999608030877153,No significativo,1.0001702633983067
uncultured,372.242116474338,0.395204280026635,0.19973842039612,1.97860921921214,0.0478600208723001,0.0999608030877153,No significativo,1.0001702633983067
Asteroleplasma,15.8177544588892,2.10875856321837,1.08120878316935,1.9503712844775,0.0511318818815737,0.104157537166169,No significativo,0.982309297667857
Lachnospiraceae_UCG-007,34.5006013023412,-0.947245970979624,0.484642104683957,-1.95452677723356,0.0506389513002916,0.104157537166169,No significativo,0.982309297667857
Alkaliflexus,4.76968351447739,3.05265527399923,1.59386295068452,1.91525580834174,0.0554598883691427,0.111596116840348,No significativo,0.9523509170843714
Alloprevotella,41.9834429223,-1.08773148479054,0.594112880123959,-1.83084986234197,0.0671229555636676,0.131382755208605,No significativo,0.8814616348464993
Fermentimonas,3870.89836537955,0.258444068555374,0.141153966324843,1.8309373465327,0.067109895211977,0.131382755208605,No significativo,0.8814616348464993
Trueperella,16.7331034953795,-1.3263714588059,0.72593638696517,-1.82711802662337,0.0676820254104934,0.131382755208605,No significativo,0.8814616348464993
Savagea,10.4407371055322,-2.69296975735536,1.4915146346013,-1.80552687508508,0.0709922739008473,0.136206106902788,No significativo,0.8658034200684253
Anaerosporobacter,3.43886074786695,-4.98854834650286,2.80024347240459,-1.78146950279975,0.0748357827471673,0.141929932796352,No significativo,0.8479260028696247
Anaerocella,15.4612677080864,1.13658138513774,0.674545538070009,1.68495871811664,0.0919965364828921,0.172493505905423,No significativo,0.7632272507503002
Aequorivita,6.98407234978088,2.10301106012578,1.25322406614091,1.67808065368681,0.0933313549489185,0.173030040073838,No significativo,0.7618784916356719
Coprococcus,27.1310281863167,-0.792403235259397,0.476653969656019,-1.66242869188993,0.096426849995423,0.176782558324942,No significativo,0.7525605854592193
Unidentified,1158.52841559791,0.198332280738495,0.119743653330226,1.65630724654391,0.0976596137365853,0.177075123808094,No significativo,0.7518424458777122
Anaerosalibacter,2.86198424562635,-4.72408060417117,2.91720011065693,-1.61938860036151,0.105363678034836,0.188967466040739,No significativo,0.7236129605633318
Lactobacillus,5080.76722462516,0.30803452610958,0.190854109734854,1.6139790048929,0.106531980337164,0.189008352211098,No significativo,0.7235190040857749
Lacticigenium,2.50325921510259,-4.53230830987118,3.01040468355029,-1.50554785362812,0.132183283556217,0.232023848795488,No significativo,0.6344673734368393
Cellulosilyticum,52.8157079951063,-0.600961636996285,0.411712212168681,-1.45966434619643,0.144382345305378,0.250769336583025,No significativo,0.6007255689854056
Succinivibrio,83.5623933234149,-0.417679638415237,0.28825425928904,-1.44899728262616,0.147338341448359,0.252235253997381,No significativo,0.5981942137719642
Terrisporobacter,4143.06292405902,-0.35006348295774,0.242154530571139,-1.44562020843504,0.148283755380279,0.252235253997381,No significativo,0.5981942137719642
Prevotellaceae_UCG-004,14.120396767771,0.86551037119641,0.622809271032997,1.38968768040474,0.16462373741111,0.277172619110542,No significativo,0.5572496743363302
CAG-873,22.7049872098948,0.754851348360265,0.556034780391278,1.35756138820863,0.174602901894551,0.291004836490919,No significativo,0.5360997929939448
Acidaminococcus,1.9868377262491,-4.19893160605344,3.18931853396545,-1.31656075156365,0.187985902059913,0.307105681583026,No significativo,0.5127121488537991
LK-44f,3.95352587670656,-3.11363154261388,2.35720058021481,-1.32090224682116,0.186533960507477,0.307105681583026,No significativo,0.5127121488537991
Family_XIII_UCG-001,1.91793279505007,-4.14322382260238,3.25239404735033,-1.27389970658008,0.202698962420102,0.321531932555902,No significativo,0.49277588916541987
Incertae_Sedis,9.0193139801293,-1.05494941695338,0.831635995161799,-1.26852303542746,0.204611229808301,0.321531932555902,No significativo,0.49277588916541987
PeH15,3.49309746665626,2.33820180003409,1.82365824824831,1.28214911005394,0.199790344168987,0.321531932555902,No significativo,0.49277588916541987
[Eubacterium]_ventriosum_group,1.88565298906267,-4.12278574978087,3.2320341455631,-1.27560092625896,0.202096626516516,0.321531932555902,No significativo,0.49277588916541987
Helcococcus,1.82953446653102,-4.08055006825418,3.28198966612561,-1.24331594044026,0.213751432423381,0.332726286319414,No significativo,0.47791288728112985
Clostridium_sensu_stricto_6,85.9544458944763,-0.415426679815026,0.340154581624473,-1.22128791513281,0.221977027394474,0.339131569630447,No significativo,0.4696317800298593
Porphyromonas,9.34349639897957,-1.0550352104974,0.861162390200414,-1.22512922359726,0.220526535980975,0.339131569630447,No significativo,0.4696317800298593
Catenisphaera,35.5405383787472,-0.55057847379321,0.455415344779537,-1.20895898678983,0.22667860241631,0.343137333932947,No significativo,0.46453202738543736
Vagococcus,2.67444906503031,-4.6241692663163,3.92062867581994,-1.17944586153628,0.238220682378207,0.357331023567311,No significativo,0.44692927660697845
Methanosphaera,519.284940286008,0.462353371112301,0.395918657468548,1.1677988960372,0.242887893533581,0.361049571468837,No significativo,0.44243316613481953
Faecalibacterium,2.4795818049022,-4.51537939631784,3.9217123738813,-1.15137954185278,0.249576126526019,0.367679114971367,No significativo,0.43453103836690193
Psychrobacter,21.6586159473699,-0.643710068068909,0.60820041770365,-1.0583847845737,0.289880053343065,0.423276184085006,No significativo,0.37337616670538776
Intestinibacter,390.259048777812,-0.270925817100357,0.263080193992872,-1.02982217318761,0.303093490022503,0.438687946085202,No significativo,0.35784429862583284
Aminobacterium,55.4563702934861,0.38785231522152,0.381440036384737,1.0168107126288,0.309243484965189,0.443697174080489,No significativo,0.3529133373081425
Mogibacterium,6.29532911428696,1.19732221502082,1.27310346080828,0.940475186722574,0.346973871607779,0.493540420821409,No significativo,0.3066772729420317
Raoultibacter,24.9261689919948,-0.485534943029398,0.523724320678637,-0.927081145286984,0.353884404802121,0.499067750361966,No significativo,0.30184049323217216
