Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significancia,neg_log10_padj
Odoribacter,763.713967790108,-4.20347288767259,0.168638417031115,-24.925950810467,3.89363016807361e-137,7.5536425260628e-135,Disminuye,134.121843571882
Izemoplasmatales,424.926259028413,-4.06029398845312,0.226166178604533,-17.952701918145,4.57114004294127e-72,4.43400584165303e-70,Disminuye,69.3532037390528
WCHB1-41,277.24214456996,-2.67428247558782,0.205059854787957,-13.0414725902989,7.10709488596293e-39,4.59592135958936e-37,Disminuye,36.3376274110953
Corynebacterium,459.801031989848,2.09819667872112,0.163223296972442,12.8547622651892,8.08741134296944e-38,3.92239450134018e-36,Aumenta,35.4064487285828
Bacteroidales_UCG-001,109.6912333789,-2.98148717913631,0.285246437845745,-10.4523204624509,1.42983317078272e-25,5.54775270263695e-24,Disminuye,23.2558829063359
UCG-004,452.243109145847,-2.62368918733044,0.253425705861973,-10.3528928859309,4.06028333575032e-25,1.31282494522594e-23,Disminuye,22.881793179768
Lactobacillus,3640.39582492308,1.42011954515689,0.146613485936648,9.68614541891821,3.45315797134328e-22,9.5701806634371e-21,Aumenta,20.019079863645
Clostridia_UCG-014,216.349591734935,1.56025376303472,0.177528249407482,8.78876329960005,1.5121528337055e-18,3.66697062173585e-17,Aumenta,16.4356925694147
Clostridia_vadinBB60_group,66.5474116925129,-4.65517029683066,0.534899433197393,-8.70288881968729,3.2354084909911e-18,6.97410274724748e-17,Disminuye,16.1565116585898
Anaerococcus,555.034148600903,1.30132169139458,0.151285020011775,8.60178814328939,7.84835701353385e-18,1.52258126062557e-16,Aumenta,15.8174195196478
Eubacterium,121.594490601485,2.94192356912472,0.345059077572921,8.52585473136263,1.51685532186298e-17,2.67518120401289e-16,Aumenta,15.57264679561
UCG-005,138.408852223618,-3.93800513642285,0.497512096923451,-7.91539574771137,2.46467845563532e-15,3.9845635032771e-14,Disminuye,13.399619247292
Clostridium_sensu_stricto_15,80.5272825819469,-9.81416837736338,1.25589726418508,-7.81446751835351,5.51958652179542e-15,8.23692142483317e-14,Disminuye,13.0842350768989
Anaerosalibacter,174.553265564401,-5.66104052678616,0.728343634352008,-7.77248576054718,7.69606589101498e-15,1.06645484489779e-13,Disminuye,12.9720575284254
Sedimentibacter,51.8207976423448,-5.13025388209146,0.689811669621076,-7.43718047696929,1.02856984700933e-13,1.33028366879874e-12,Disminuye,11.8760557404931
Atopostipes,139.759351430525,-2.33845695582541,0.315126993333089,-7.42068120249433,1.16519473447524e-13,1.41279861555122e-12,Disminuye,11.849919739346
Candidatus_Methanoplasma,428.462700140742,-4.90418214842454,0.676374653298186,-7.25068883718575,4.14657311523277e-13,4.7319716726774e-12,Disminuye,11.3249578638828
Phascolarctobacterium,140.381394149804,-1.72322770718279,0.239221020227027,-7.20349618753151,5.86879233508701e-13,6.32525396114933e-12,Disminuye,11.1989220327274
Proteiniclasticum,39.5736391787981,-8.78918898186246,1.24792847225344,-7.04302303960694,1.88113108775202e-12,1.92073384749416e-11,Disminuye,10.7165328103453
