	shannon_entropy
A-1	6.911665274742675
A-2	6.855279950276493
A-3	6.980823439691859
B-1	6.454659825145545
B-2	6.584425058853637
B-3	6.783341543398244
C-1	6.779211691687707
C-2	6.808592540856489
C-3	6.98361553256504
D-1	5.910991494092858
D-2	5.968794854263742
D-3	6.295188082840586
E-1	6.113219444571613
E-2	6.121717544536984
E-3	6.309024900495124
F-1	6.629255630888213
F-2	6.593756608037657
F-3	6.722940541812199
G-1	6.3975088192814145
G-2	6.364047539439452
G-3	6.573321157586738
H-1	5.941576430624866
H-2	6.092827313018771
H-3	6.438034647713245
I-1	5.946893558053492
I-2	6.233067126702529
I-3	6.46614528455434
J-1	5.8635102359315825
J-2	6.181107746851066
J-3	6.4037805073272684
K-1	5.9903807648049305
K-2	6.16140241679496
K-3	6.432493476532393
L-1	5.982752789576037
L-2	6.224207420915887
L-3	6.448334302769006
M-1	6.2509345259055245
M-2	6.483999986479657
M-3	6.611724466726887
N-1	5.658877333888727
N-2	5.885678360864424
N-3	6.0663616616908715
