Punto de muestreo,Grupo,Tiempo,Replica,Coliformes NMP/mL,E. coli NMP/mL
Entrada,Tratamiento,T0,1,192000,8220
Entrada,Tratamiento,T0,2,212000,14900
Entrada,Tratamiento,T0,3,269000,7980
Entrada,Tratamiento,T30,1,102000,11100
Entrada,Tratamiento,T30,2,50500,11200
Entrada,Tratamiento,T30,3,144000,5050
Entrada,Control,T0,1,363000,36600
Entrada,Control,T0,2,510000,30600
Entrada,Control,T0,3,966000,52600
Entrada,Control,T30,1,310000,25600
Entrada,Control,T30,2,167000,17000
Entrada,Control,T30,3,157000,33100
Balsa,Tratamiento,T0,1,29500,1890
Balsa,Tratamiento,T0,2,24500,3180
Balsa,Tratamiento,T0,3,60200,1930
Balsa,Tratamiento,T30,1,10500,1360
Balsa,Tratamiento,T30,2,12500,1490
Balsa,Tratamiento,T30,3,8920,2500
Balsa,Control,T0,1,66900,7530
Balsa,Control,T0,2,186000,13100
Balsa,Control,T0,3,140000,6400
Balsa,Control,T30,1,34700,2320
Balsa,Control,T30,2,52300,3040
Balsa,Control,T30,3,51800,3720
Salida,Tratamiento,T0,1,7860,676
Salida,Tratamiento,T0,2,4840,295
Salida,Tratamiento,T0,3,6550,714
Salida,Tratamiento,T30,1,1610,342
Salida,Tratamiento,T30,2,1870,230
Salida,Control,T0,1,15200,2090
Salida,Control,T0,2,26400,960
Salida,Control,T0,3,8300,1980
Salida,Control,T30,1,8050,473
Salida,Control,T30,2,5750,965
Salida,Control,T30,3,7110,1230
