Punto de muestreo,Grupo,Tiempo,Replica,Aerobios mesofilos (UFC/mL),Coliformes totales (UFC/mL),Enterococos (UFC/mL)
Entrada,Tratamiento,T0,1,3772082,275096,42340
Entrada,Tratamiento,T0,2,4537520,142294,23021
Entrada,Tratamiento,T0,3,8648715,114230,39177
Entrada,Tratamiento,T30,1,3589774,121373,10799
Entrada,Tratamiento,T30,2,2887361,128101,23633
Entrada,Tratamiento,T30,3,2113636,71791,15708
Entrada,Control,T0,1,17291402,763553,92170
Entrada,Control,T0,2,26358854,514565,62966
Entrada,Control,T0,3,23014167,438693,61609
Entrada,Control,T30,1,14200149,408428,54213
Entrada,Control,T30,2,7519336,324558,53160
Entrada,Control,T30,3,11273634,242862,42195
Balsa,Tratamiento,T0,1,1211912,24064,3813
Balsa,Tratamiento,T0,2,1148356,31690,3722
Balsa,Tratamiento,T0,3,945458,29934,7532
Balsa,Tratamiento,T30,1,449971,15009,5575
Balsa,Tratamiento,T30,2,934656,12588,3106
Balsa,Tratamiento,T30,3,651739,13424,3544
Balsa,Control,T0,1,4313684,142298,19033
Balsa,Control,T0,2,3010128,68883,29965
Balsa,Control,T0,3,6465295,64612,29797
Balsa,Control,T30,1,1622158,77649,5808
Balsa,Control,T30,2,#NUM!,49277,10007
Balsa,Control,T30,3,1158254,33868,9577
Salida,Tratamiento,T0,1,182486,5923,767
Salida,Tratamiento,T0,2,152723,4293,918
Salida,Tratamiento,T0,3,127672,6836,1173
Salida,Tratamiento,T30,1,152821,3707,328
Salida,Tratamiento,T30,2,85201,1785,286
Salida,Tratamiento,T30,3,131387,1819,869
Salida,Control,T0,1,373400,20106,2038
Salida,Control,T0,2,1019712,16375,4086
Salida,Control,T0,3,661056,10906,4273
Salida,Control,T30,1,445720,5581,1830
Salida,Control,T30,2,526356,5742,2264
Salida,Control,T30,3,197635,11599,2538
