taxon,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3,I-1,I-2,I-3,J-1,J-2,J-3,K-1,K-2,K-3,L-1,L-2,L-3,M-1,M-2,M-3,N-1,N-2,N-3
Acetitomaculum,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
Acetobacterium,0.0,0.0,0.0,10.0,0.0,5.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0
Acholeplasma,1028.0,868.0,562.0,2293.0,1915.0,1761.0,3021.0,2669.0,2199.0,692.0,660.0,622.0,2150.0,1938.0,1805.0,392.0,350.0,196.0,332.0,264.0,142.0,112.0,81.0,68.0,223.0,151.0,186.0,233.0,185.0,191.0,142.0,152.0,196.0,237.0,155.0,144.0,943.0,791.0,851.0,302.0,276.0,272.0
Acidaminococcus,16.0,12.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,19.0,13.0,15.0,21.0,16.0,4.0,6.0,6.0,10.0,8.0,3.0,5.0,7.0,10.0,16.0,11.0,12.0,10.0,14.0,19.0,13.0,14.0,16.0,6.0,0.0,6.0,9.0
Acinetobacter,13.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,14.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Actinomyces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advenella,6.0,0.0,4.0,8.0,0.0,0.0,5.0,3.0,4.0,13.0,0.0,9.0,4.0,0.0,0.0,7.0,6.0,7.0,8.0,15.0,9.0,10.0,3.0,11.0,4.0,9.0,11.0,13.0,0.0,17.0,9.0,0.0,12.0,9.0,0.0,7.0,8.0,11.0,14.0,10.0,9.0,9.0
Aequorivita,0.0,0.0,5.0,4.0,6.0,0.0,0.0,4.0,3.0,14.0,5.0,10.0,0.0,0.0,3.0,6.0,9.0,4.0,3.0,10.0,6.0,5.0,8.0,6.0,7.0,0.0,4.0,0.0,9.0,9.0,0.0,4.0,6.0,7.0,5.0,3.0,4.0,7.0,4.0,0.0,3.0,7.0
Aerococcus,173.0,116.0,74.0,0.0,31.0,0.0,0.0,19.0,20.0,8.0,0.0,9.0,20.0,49.0,0.0,349.0,292.0,151.0,287.0,301.0,136.0,296.0,265.0,154.0,243.0,235.0,242.0,343.0,267.0,264.0,276.0,179.0,235.0,259.0,176.0,176.0,277.0,210.0,239.0,283.0,268.0,286.0
Aerosphaera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
